City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tsiombe,-25.3,45.4833,66.15,77,0,2.66,MG,clear sky
1,mhamid,29.82,-5.72,98.89,8,0,9.17,MA,clear sky
2,waitangi,-43.9535,-176.5597,50.83,96,94,1.99,NZ,overcast clouds
3,bredasdorp,-34.5322,20.0403,45.21,79,0,2.13,ZA,clear sky
4,gaigeturi,33.4644,126.3183,80.65,89,75,8.05,KR,broken clouds
5,talnakh,69.4865,88.3972,49.21,88,96,3.4,RU,overcast clouds
6,adamstown,-25.066,-130.1015,70.14,65,100,9.6,PN,overcast clouds
7,mae sot,16.7167,98.5667,73.18,99,100,1.01,TH,overcast clouds
8,sechura,-5.5569,-80.8222,80.89,61,6,16.75,PE,clear sky
9,todos santos,23.45,-110.2167,85.44,70,46,15.43,MX,scattered clouds
10,egilsstadir,65.2653,-14.3948,51.71,71,0,16.11,IS,clear sky
11,kingston,17.997,-76.7936,95.23,61,20,20.71,JM,few clouds
12,puerto natales,-51.7236,-72.4875,36.05,87,75,5.75,CL,broken clouds
13,zaragoza,41.6561,-0.8773,91.85,41,0,8.05,ES,clear sky
14,jamestown,42.097,-79.2353,79.52,46,0,8.05,US,clear sky
15,abepura,-2.6333,140.5833,76.01,94,40,0.0,ID,moderate rain
16,ristiina,61.5058,27.2464,57.31,66,8,3.11,FI,clear sky
17,broome,42.2506,-75.833,77.45,68,40,17.27,US,scattered clouds
18,merizo village,13.2658,144.6691,82.96,90,100,15.26,GU,overcast clouds
19,grytviken,-54.2811,-36.5092,23.04,81,100,3.44,GS,overcast clouds
20,ribeira grande,38.5167,-28.7,72.0,94,75,6.91,PT,broken clouds
21,thompson,55.7435,-97.8558,62.76,51,75,21.85,CA,broken clouds
22,qaqortoq,60.7167,-46.0333,48.22,88,34,7.78,GL,scattered clouds
23,raduzhny,62.0961,77.475,51.42,85,91,6.44,RU,overcast clouds
24,roberval,48.5168,-72.2324,72.23,88,100,4.61,CA,overcast clouds
